time_s,cwnd_bytes,cwnd_pkts,bytes_in_flight,srtt_ms,rtt_sample_ms,rtt_min_ms,rtt_max_ms,rtt_var_ms,pacing_rate_Bps,pkts_sent,pkts_lost,timer_losses,cc_algo,ecn_ect1,ecn_ce,prague_alpha
0.007,22399,15,0,21.1,20.3,20.3,21.2,4.7,1330043,5,1,1,prague,4,0,0.000
0.007,24104,16,0,22.8,28.4,20.3,28.4,5.6,1323522,8,1,1,prague,7,0,0.000
0.005,26066,18,55,24.6,28.5,20.3,28.5,4.3,1323523,16,1,1,prague,14,0,0.000
0.007,26337,18,0,24.9,26.0,20.3,28.5,2.9,1323520,17,1,1,prague,16,0,0.000
0.027,29447,20,24480,25.1,26.9,20.3,28.5,2.6,1465199,36,1,1,prague,18,0,0.000
0.030,32295,22,27360,25.8,30.2,20.3,30.2,3.2,1567718,40,1,1,prague,20,0,0.000
0.034,35143,24,30240,25.9,26.7,20.3,30.2,2.7,1697860,44,1,1,prague,22,0,0.000
0.037,37991,26,33120,26.4,30.2,20.3,30.2,3.1,1798067,48,1,1,prague,24,0,0.000
0.040,40839,28,36000,27.1,32.0,20.3,32.0,3.7,1882883,52,1,1,prague,26,0,0.000
0.044,43687,30,38880,27.9,33.0,20.3,33.0,4.3,1960676,56,1,1,prague,28,0,0.000
0.047,46535,32,41760,28.6,34.2,20.3,34.2,4.8,2031102,60,1,1,prague,30,0,0.000
0.050,49383,34,44640,29.5,35.3,20.3,35.3,5.2,2094487,64,1,1,prague,32,0,0.000
0.054,52231,36,47520,30.3,36.5,20.3,36.5,5.7,2151336,68,1,1,prague,34,0,0.000
0.057,55079,38,50400,30.3,30.3,20.3,36.5,4.3,2269090,72,1,1,prague,36,0,0.000
0.061,57927,40,53280,30.8,33.7,20.3,36.5,4.0,2354143,76,1,1,prague,38,0,0.000
0.064,60775,42,56160,31.1,33.7,20.3,36.5,3.8,2440449,80,1,1,prague,40,0,0.000
0.067,63623,44,59040,31.9,37.1,20.3,37.1,4.3,2494628,84,1,1,prague,42,0,0.000
0.071,66471,46,61920,32.5,37.2,20.3,37.2,4.6,2553041,88,1,1,prague,44,0,0.000
0.111,34279,23,33230,47.7,57.5,20.3,57.6,11.0,717944,94,1,1,prague,45,23,0.000
0.115,34355,23,31790,49.4,60.9,20.3,60.9,11.5,695614,95,1,1,prague,45,25,0.000
0.118,34429,23,31790,50.8,60.9,20.3,60.9,11.5,677429,97,1,1,prague,45,27,0.000
0.122,34501,23,31790,52.5,64.3,20.3,64.3,12.0,657111,99,1,1,prague,45,29,0.000
0.125,34571,24,31790,54.0,64.3,20.3,64.3,11.9,640488,101,1,1,prague,45,31,0.000
0.006,17994,12,165,54.0,40.8,20.3,77.9,17.1,333018,106,1,1,prague,47,55,1.000
0.007,9342,6,0,50.6,26.6,20.3,77.9,19.7,355584,107,1,1,prague,51,55,0.969
0.031,5867,4,4320,45.6,30.6,20.3,77.9,19.7,355584,114,1,1,prague,55,55,0.908
0.034,6222,4,4320,44.1,33.9,20.3,77.9,17.7,355584,116,1,1,prague,57,55,0.908
0.041,6390,4,5760,43.1,35.7,20.3,77.9,15.4,355584,118,1,1,prague,58,55,0.908
0.054,4765,3,1440,37.7,20.2,20.2,77.9,17.9,355584,119,1,1,prague,62,55,0.851
0.066,4994,3,4320,36.2,25.3,20.2,77.9,16.5,355584,122,1,1,prague,63,55,0.851
0.075,3794,2,2880,34.2,20.4,20.2,77.9,16.3,355584,123,1,1,prague,65,55,0.797
0.081,4088,2,2880,32.6,21.8,20.2,77.9,15.4,355584,124,1,1,prague,66,55,0.797
0.092,4363,3,2880,31.7,25.4,20.2,77.9,13.3,355584,125,1,1,prague,67,55,0.797
0.100,4622,3,4320,30.9,25.3,20.2,77.9,11.6,355584,127,1,1,prague,68,55,0.797
0.117,4113,2,1440,29.0,20.2,20.2,77.9,10.1,355584,128,1,1,prague,71,55,0.747
0.125,4395,3,2880,28.5,25.4,20.2,77.9,8.5,355584,130,1,1,prague,72,55,0.747
0.143,3837,2,2880,27.5,20.3,20.2,77.9,8.4,355584,132,1,1,prague,74,55,0.700
0.151,4456,3,1440,26.6,20.2,20.2,77.9,8.1,355584,133,1,1,prague,76,55,0.700
0.168,4724,3,4320,26.4,25.4,20.2,77.9,6.4,355584,136,1,1,prague,77,55,0.700
0.176,4322,3,1440,25.9,21.8,20.2,77.9,6.0,355584,137,1,1,prague,80,55,0.656
0.193,4604,3,4320,25.8,25.3,20.2,77.9,4.6,355584,140,1,1,prague,81,55,0.656
0.202,4353,3,1440,25.3,21.8,20.2,77.9,4.4,355584,141,1,1,prague,84,55,0.615
0.219,4638,3,4320,25.3,25.3,20.2,77.9,3.3,355584,144,1,1,prague,85,55,0.615
0.227,4448,3,1440,24.8,21.7,20.2,77.9,3.4,355584,145,1,1,prague,88,55,0.576
0.244,4732,3,4320,24.9,25.3,20.2,77.9,2.7,355584,148,1,1,prague,89,55,0.576
0.253,4569,3,1440,24.5,21.7,20.2,77.9,2.8,355584,149,1,1,prague,92,55,0.540
0.269,4850,3,4320,24.6,25.4,20.2,77.9,2.3,355584,152,1,1,prague,93,55,0.540
0.278,4702,3,1440,24.2,21.7,20.2,77.9,2.5,355584,153,1,1,prague,96,55,0.506
0.295,4980,3,4320,24.4,25.3,20.2,77.9,2.1,355584,156,1,1,prague,97,55,0.506
0.303,4845,3,1440,24.0,21.8,20.2,77.9,2.2,355584,157,1,1,prague,100,55,0.474
0.320,5118,3,4320,24.2,25.3,20.2,77.9,2.0,355584,160,1,1,prague,101,55,0.474
0.329,4993,3,1440,23.9,21.8,20.2,77.9,2.1,355584,161,1,1,prague,104,55,0.443
0.346,5262,3,4320,24.1,25.4,20.2,77.9,1.9,355584,164,1,1,prague,105,55,0.443
0.354,5148,3,1440,23.8,21.8,20.2,77.9,2.0,355584,165,1,1,prague,108,55,0.415
0.371,5412,3,4320,24.0,25.3,20.2,77.9,1.9,355584,168,1,1,prague,109,55,0.415
0.380,5307,3,1440,23.7,21.9,20.2,77.9,1.9,355584,169,1,1,prague,112,55,0.389
0.396,5566,3,4320,23.9,25.3,20.2,77.9,1.9,355584,172,1,1,prague,113,55,0.389
0.405,5469,3,1440,23.7,21.8,20.2,77.9,1.9,355584,173,1,1,prague,116,55,0.364
0.422,5723,3,4320,23.2,20.2,20.2,77.9,2.3,355584,176,1,1,prague,117,55,0.364
0.430,5636,3,1440,23.1,21.9,20.2,77.9,2.1,355584,177,1,1,prague,120,55,0.341
0.447,5886,4,4320,22.7,20.2,20.2,77.9,2.3,355584,180,1,1,prague,121,55,0.341
0.456,5808,4,2880,22.6,21.8,20.2,77.9,1.9,355584,182,1,1,prague,124,55,0.319
0.473,6299,4,4320,22.3,20.3,20.2,77.9,2.0,355584,185,1,1,prague,126,55,0.319
0.481,6162,4,2880,22.2,21.8,20.2,77.9,1.6,355584,187,1,1,prague,129,55,0.299
0.498,6630,4,4320,22.0,20.3,20.2,77.9,1.7,355584,190,1,1,prague,131,55,0.299
0.507,6469,4,2880,22.0,21.8,20.2,77.9,1.3,355584,192,1,1,prague,134,55,0.279
0.524,6920,4,4320,21.8,20.3,20.2,77.9,1.4,355584,195,1,1,prague,136,55,0.279
0.532,6747,4,2880,21.8,21.8,20.2,77.9,1.1,355584,197,1,1,prague,139,55,0.262
0.549,7184,4,4320,22.2,25.3,20.2,77.9,1.7,355584,200,1,1,prague,141,55,0.262
0.558,7010,4,2880,22.2,21.8,20.2,77.9,1.4,355584,202,1,1,prague,144,55,0.245
0.574,7434,5,4320,22.6,25.3,20.2,77.9,1.8,355584,205,1,1,prague,146,55,0.245
0.583,7263,5,4320,22.5,21.8,20.2,77.9,1.6,355584,208,1,1,prague,149,55,0.229
0.600,7884,5,4320,22.4,21.8,20.2,77.9,1.3,355584,211,1,1,prague,152,55,0.229
0.609,7683,5,4320,22.3,21.9,20.2,77.9,1.1,355584,214,1,1,prague,155,55,0.215
0.625,8276,5,4320,22.2,21.8,20.2,77.9,1.0,355584,217,1,1,prague,158,55,0.215
0.634,8059,5,4320,22.2,21.8,20.2,77.9,0.8,355584,220,1,1,prague,161,55,0.201
0.651,8630,5,4320,22.1,21.8,20.2,77.9,0.7,355584,223,1,1,prague,164,55,0.201
0.659,8408,5,4320,22.1,21.7,20.2,77.9,0.6,355584,226,1,1,prague,167,55,0.188
0.676,8960,6,4320,22.0,21.8,20.2,77.9,0.6,355584,229,1,1,prague,170,55,0.188
0.685,8744,6,5760,22.0,21.8,20.2,77.9,0.5,355584,233,1,1,prague,173,55,0.176
0.701,9459,6,4320,22.2,23.6,20.2,77.9,0.7,355584,236,1,1,prague,177,55,0.176
0.710,9226,6,5760,22.2,21.8,20.2,77.9,0.7,355584,240,1,1,prague,180,55,0.164
0.727,9910,6,4320,22.3,23.5,20.2,77.9,0.8,355584,243,1,1,prague,184,55,0.164
0.736,9670,6,5760,22.3,21.8,20.2,77.9,0.8,355584,247,1,1,prague,187,55,0.153
0.752,10328,7,4320,22.4,23.6,20.2,77.9,0.9,355584,250,1,1,prague,191,55,0.153
0.761,10086,7,7200,22.3,21.7,20.2,77.9,0.9,355584,255,1,1,prague,194,55,0.144
0.778,10882,7,4320,22.7,25.3,20.2,77.9,1.4,355584,258,1,1,prague,199,55,0.144
0.786,10631,7,7200,22.6,21.8,20.2,77.9,1.3,355584,263,1,1,prague,202,55,0.134
0.803,11392,7,4320,22.9,25.3,20.2,77.9,1.6,355584,266,1,1,prague,207,55,0.134
0.812,11136,7,7200,22.8,21.9,20.2,77.9,1.5,355584,271,1,1,prague,210,55,0.125
0.829,11869,8,4320,23.1,25.2,20.2,77.9,1.7,513587,274,1,1,prague,215,55,0.125
0.840,11613,8,7200,23.0,21.9,20.2,77.9,1.6,505902,279,1,1,prague,218,55,0.117
0.854,12037,8,8640,22.9,22.3,20.2,77.9,1.4,526391,283,1,1,prague,221,55,0.117
0.860,12310,8,10080,22.8,22.2,20.2,77.9,1.2,540315,286,1,1,prague,223,55,0.117
0.865,11920,8,10080,22.5,20.2,20.2,77.9,1.5,530626,288,1,1,prague,225,55,0.109
0.872,12196,8,10080,22.5,23.0,20.2,77.9,1.3,541226,290,1,1,prague,227,55,0.109
0.880,12602,8,8640,22.6,22.9,20.2,77.9,1.1,558178,292,1,1,prague,230,55,0.109
0.885,12865,8,10080,22.6,22.9,20.2,77.9,0.9,568870,295,1,1,prague,232,55,0.109
0.891,12477,8,10080,22.7,23.1,20.2,77.9,0.8,550302,297,1,1,prague,234,55,0.103
0.897,12743,8,10080,22.8,24.0,20.2,77.9,0.9,557851,299,1,1,prague,236,55,0.103
0.905,13135,9,8640,22.9,23.1,20.2,77.9,0.8,574132,301,1,1,prague,239,55,0.103
0.912,13389,9,11520,22.9,23.2,20.2,77.9,0.6,584340,305,1,1,prague,241,55,0.103
0.917,13011,9,11520,23.0,23.9,20.2,77.9,0.7,564860,307,1,1,prague,243,55,0.096
0.922,13268,9,11520,23.3,25.0,20.2,77.9,1.0,569931,309,1,1,prague,245,55,0.096
0.931,13774,9,8640,23.0,21.1,20.2,77.9,1.3,598609,311,1,1,prague,249,55,0.096
0.937,14018,9,11520,23.0,22.9,20.2,77.9,1.0,609584,315,1,1,prague,251,55,0.096
0.942,13773,9,10080,22.6,20.1,20.1,77.9,1.5,608482,317,1,1,prague,254,55,0.089
0.950,13895,9,12960,22.3,20.2,20.1,77.9,1.7,622284,320,1,1,prague,255,55,0.089
0.956,14381,9,8640,22.1,20.1,20.1,77.9,1.8,652081,321,1,1,prague,259,55,0.089
0.963,14616,10,11520,21.8,20.1,20.1,77.9,1.9,670028,325,1,1,prague,261,55,0.089
0.968,14373,9,11520,21.6,20.2,20.1,77.9,1.8,665108,328,1,1,prague,264,55,0.083
0.975,14491,10,12960,22.1,25.3,20.1,77.9,2.3,656681,330,1,1,prague,265,55,0.083
0.981,14960,10,10080,21.8,20.2,20.1,77.9,2.2,685326,332,1,1,prague,269,55,0.083
0.988,15302,10,11520,21.6,20.2,20.1,77.9,2.0,707672,336,1,1,prague,272,55,0.083
0.993,14944,10,12960,21.4,20.2,20.1,77.9,1.9,696949,339,1,1,prague,274,55,0.077
1.001,15172,10,12960,21.3,20.2,20.1,77.9,1.7,712802,341,1,1,prague,276,55,0.077
1.007,15623,10,10080,21.1,20.1,20.1,77.9,1.6,739025,343,1,1,prague,280,55,0.077
1.013,15952,11,11520,21.0,20.1,20.1,77.9,1.4,759112,347,1,1,prague,283,55,0.077
1.019,15599,10,14400,20.9,20.2,20.1,77.9,1.3,746042,351,1,1,prague,285,55,0.072
1.026,15819,10,12960,20.8,20.2,20.1,77.9,1.1,759871,352,1,1,prague,287,55,0.072
1.039,16680,11,11520,20.7,20.2,20.1,77.9,0.8,804243,359,1,1,prague,295,55,0.072
1.045,16783,11,15840,21.3,25.3,20.1,77.9,1.7,787712,363,1,1,prague,296,55,0.072
