time_s,cwnd_bytes,cwnd_pkts,bytes_in_flight,srtt_ms,rtt_sample_ms,rtt_min_ms,rtt_max_ms,rtt_var_ms,pacing_rate_Bps,pkts_sent,pkts_lost,timer_losses,cc_algo,ecn_ect1,ecn_ce,prague_alpha
0.007,15360,10,0,22.2,20.4,20.4,22.8,4.5,864670,5,1,1,prague,4,0,0.000
0.006,15360,10,0,23.6,28.2,20.4,28.2,5.0,813076,7,1,1,prague,7,0,0.000
0.005,15360,10,0,23.9,24.1,20.4,28.2,2.1,802474,14,1,1,prague,14,0,0.000
0.006,15360,10,0,24.2,26.0,20.4,28.2,2.1,793749,15,1,1,prague,15,0,0.000
0.026,18208,12,12960,24.4,25.9,20.4,28.2,2.0,932786,26,1,1,prague,17,0,0.000
0.029,21056,14,15840,24.3,23.4,20.4,28.2,1.7,1084377,30,1,1,prague,19,0,0.000
0.034,21056,14,18720,24.3,24.4,20.4,28.2,1.3,1083618,34,1,1,prague,21,0,0.000
0.037,21056,14,18720,24.3,24.1,20.4,28.2,1.0,1084555,36,1,1,prague,23,0,0.000
0.039,21056,14,18720,24.2,23.8,20.4,28.2,0.9,1087019,38,1,1,prague,25,0,0.000
0.046,23904,16,18720,23.7,20.2,20.2,28.2,1.7,1260387,40,1,1,prague,27,0,0.000
0.048,26752,18,21600,23.5,21.8,20.2,28.2,1.7,1425040,44,1,1,prague,29,0,0.000
0.051,26752,18,24480,23.3,21.9,20.2,28.2,1.7,1436981,48,1,1,prague,31,0,0.000
0.055,29600,20,24480,23.3,23.1,20.2,28.2,1.3,1591124,50,1,1,prague,33,0,0.000
0.058,32448,22,27360,23.4,24.0,20.2,28.2,1.2,1737044,54,1,1,prague,35,0,0.000
0.061,35296,24,30240,23.5,24.2,20.2,28.2,1.1,1881289,58,1,1,prague,37,0,0.000
0.065,38144,26,33120,23.7,25.3,20.2,28.2,1.3,2012918,62,1,1,prague,39,0,0.000
0.068,40992,28,36000,23.5,21.9,20.2,28.2,1.4,2184329,66,1,1,prague,41,0,0.000
0.071,43840,30,38880,23.7,25.2,20.2,28.2,1.5,2314286,71,1,1,prague,43,0,0.000
0.075,46688,32,41760,24.1,27.0,20.2,28.2,1.9,2422783,75,1,1,prague,45,0,0.000
