time_s,cwnd_bytes,cwnd_pkts,bytes_in_flight,srtt_ms,rtt_sample_ms,rtt_min_ms,rtt_max_ms,rtt_var_ms,pacing_rate_Bps,pkts_sent,pkts_lost,timer_losses,cc_algo,ecn_ect1,ecn_ce,prague_alpha
0.007,19108,13,0,21.3,20.2,20.2,21.5,6.3,1122415,5,1,1,prague,4,0,0.000
0.007,20480,14,0,23.0,28.6,20.2,28.6,6.5,1114303,7,1,1,prague,7,0,0.000
0.006,21727,15,0,24.4,27.9,20.2,28.6,4.1,1114296,14,1,1,prague,14,0,0.000
0.032,22037,15,0,24.7,27.2,20.2,28.6,3.8,1114330,15,1,1,prague,15,0,0.000
0.053,28039,19,20160,28.3,53.0,20.2,53.0,9.9,1240312,31,1,1,prague,17,0,0.000
0.056,30887,21,25920,27.6,23.3,20.2,53.0,8.7,1396641,37,1,1,prague,19,0,0.000
0.060,30887,21,28800,27.5,26.8,20.2,53.0,6.7,1401813,41,1,1,prague,21,0,0.000
0.063,33735,23,28800,27.6,28.2,20.2,53.0,5.2,1526691,43,1,1,prague,23,0,0.000
0.066,36583,25,31680,27.8,29.3,20.2,53.0,4.3,1643204,47,1,1,prague,25,0,0.000
0.070,39431,27,34560,28.1,30.2,20.2,53.0,3.8,1752301,52,1,1,prague,27,0,0.000
0.073,42279,29,37440,28.5,31.0,20.2,53.0,3.6,1855318,56,1,1,prague,29,0,0.000
0.076,45127,31,40320,28.9,31.8,20.2,53.0,3.5,1951994,60,1,1,prague,31,0,0.000
0.080,47975,33,43200,28.6,26.5,20.2,53.0,3.2,2096589,64,1,1,prague,33,0,0.000
0.086,50823,35,46080,29.1,32.8,20.2,53.0,3.5,2180945,68,1,1,prague,35,0,0.000
0.115,26666,18,24535,36.8,44.4,20.2,53.0,7.2,724088,73,1,1,prague,46,8,0.000
0.119,26792,18,24535,37.9,45.7,20.2,53.0,7.6,706297,75,1,1,prague,46,10,0.000
0.122,26913,18,24535,39.3,48.6,20.2,53.0,8.3,685506,77,1,1,prague,46,12,0.000
0.126,27029,18,24535,40.5,49.0,20.2,53.0,8.7,667761,79,1,1,prague,46,14,0.000
0.129,27141,18,24535,41.9,52.2,20.2,53.0,9.5,647015,81,1,1,prague,46,16,0.000
0.132,27249,18,24535,43.3,52.4,20.2,53.0,9.7,629903,83,1,1,prague,46,18,0.000
0.136,27353,18,24535,44.8,55.9,20.2,55.9,10.4,610081,85,1,1,prague,46,20,0.000
0.139,27454,19,24535,45.9,53.0,20.2,55.9,9.9,598778,87,1,1,prague,46,22,0.000
