Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,781.0,0,0.0,4.37,1.0765
2,4927.0,1,0.0,4.27,1.063
3,4653.0,0,0.0,4.1899999999999995,1.0470000000000002
4,4864.0,0,0.0,4.13,1.032
5,3780.0,0,0.0,4.079999999999999,1.0216666666666665
6,4941.0,0,0.0,4.035,1.0105
7,4769.0,0,0.0,4.02,1.006
8,4454.0,0,0.0,4.01,1.004
9,5050.0,0,0.0,4.0,1.002
10,4205.0,0,0.0,4.0,1.0
11,4126.0,0,0.0,4.0,1.0
12,4817.0,0,0.0,4.0,1.0
13,2546.0,0,0.0,4.0,1.0
14,3756.0,0,0.0,4.0,1.0
15,4363.0,0,0.0,4.0,1.0
16,4758.0,0,0.0,4.0,1.0
17,4517.0,0,0.0,4.0,1.0
18,5021.0,0,0.0,4.0,1.0
19,3456.0,1,0.007,4.0,1.0
20,2610.0,0,0.0,4.0,1.0
21,2952.0,0,0.0,4.0,1.0
22,3255.0,0,0.0,4.0,1.0
23,3102.0,0,0.0,4.01,1.0
24,3328.0,0,0.0,4.01,1.0
25,3422.0,0,0.0,4.01,1.0
26,3595.0,0,0.0,4.01,1.0
27,2284.0,0,0.0,4.01,1.0
28,3176.0,0,0.0,4.01,1.0
29,3057.0,0,0.0,4.01,1.0
30,3595.0,0,0.0,4.01,1.0
31,2302.0,0,0.0,4.01,1.0
32,2922.0,0,0.0,4.01,1.0
33,3292.0,0,0.0,4.01,1.0
34,3176.0,0,0.0,4.01,1.0
35,3127.0,0,0.0,4.01,1.0
36,3202.0,0,0.0,4.01,1.0
37,3191.0,0,0.0,4.01,1.0
38,3360.0,0,0.0,4.01,1.0
39,3311.0,0,0.0,4.01,1.0
40,3433.0,0,0.0905,4.01,1.0
41,3420.0,0,0.19799999999999998,4.01,1.0
42,3433.0,0,0.0005000000000000004,4.01,1.0
43,1012.0,0,0.0,4.01,1.004
44,1466.0,0,0.0,4.01,1.004
45,3253.0,1,0.0,4.0,1.002
46,3289.0,0,0.0,4.0,1.0
47,3348.0,0,0.0,4.0,1.0
48,3176.0,0,0.0,4.0,1.0
49,3264.0,0,0.0,4.0,1.0
50,3309.0,0,0.0,4.0,1.0
51,3680.0,0,0.0,4.0,1.0
52,3906.0,0,0.0,4.0,1.0
53,2152.0,0,0.0,4.0,1.0
54,2762.0,0,0.0,4.0,1.0
55,3235.0,0,0.0,4.0,1.0
56,2371.0,0,0.0,4.0,1.0
57,3013.0,0,0.0,4.0,1.0
58,3142.0,0,0.0,4.0,1.0
59,3057.0,0,0.0,4.0,1.0
60,3090.0,0,0.0,4.0,1.0
61,3097.0,0,0.0,4.0,1.0
62,3137.0,0,0.0,4.0,1.0
63,3128.0,0,0.0,4.0,1.0
64,3150.0,0,0.0,4.0,1.0
65,3137.0,0,0.0,4.0,1.0
66,3692.0,0,0.1265,4.0,1.0
67,3387.0,0,0.38950000000000007,4.0,1.0
68,3539.0,0,0.927,4.140000000000001,1.0154999999999998
69,3268.0,0,0.258,4.15,1.033
70,3682.0,0,1.236,4.39,1.024
71,3622.0,0,1.2494999999999998,4.734999999999999,1.0470000000000002
72,3720.0,0,0.8765000000000001,4.92,1.0
73,2402.0,0,0.043999999999999595,4.8100000000000005,1.098
74,3125.0,0,0.0,4.615,1.094
75,3004.0,0,0.0,4.44,1.0819999999999999
76,3153.0,0,0.0,4.32,1.07
77,3447.0,0,0.0,4.234999999999999,1.0545
78,5021.0,1,0.0,4.140000000000001,1.035
79,4861.0,0,0.0,4.09,1.025
80,2755.0,0,0.0,4.0600000000000005,1.0185
81,3572.0,0,0.0,4.03,1.0086666666666666
82,5019.0,0,0.0,4.01,1.005
83,4771.0,0,0.0,4.005,1.003
84,4870.0,0,0.0,4.0,1.003
85,4337.0,0,0.0,3.99,1.001
86,4249.0,0,0.0,4.0,0.999
87,2314.0,0,0.0,4.0,0.999
88,4495.0,0,0.0,4.0,0.999
89,3624.0,0,0.0,4.0,0.999
90,4627.0,0,0.0,4.0,1.0
91,3075.0,0,0.0,4.0,1.0
