time_s,cwnd_bytes,cwnd_pkts,bytes_in_flight,srtt_ms,rtt_sample_ms,rtt_min_ms,rtt_max_ms,rtt_var_ms,pacing_rate_Bps,pkts_sent,pkts_lost,timer_losses,cc_algo,ecn_ect1,ecn_ce,prague_alpha
0.008,21843,15,0,21.0,20.6,20.6,21.2,4.6,1300550,5,1,1,prague,4,0,0.000
0.007,23742,16,0,22.9,29.1,20.6,29.1,5.9,1296810,8,1,1,prague,7,0,0.000
0.006,25750,17,0,24.8,28.5,20.6,29.2,4.4,1296784,15,1,1,prague,14,0,0.000
0.006,26029,18,165,25.1,27.0,20.6,29.2,3.8,1296781,19,1,1,prague,15,0,0.000
0.018,26029,18,25920,24.5,20.1,20.1,29.2,4.1,1329910,37,1,1,prague,18,0,0.000
0.026,28877,20,24480,24.7,26.4,20.1,29.2,3.6,1461209,38,1,1,prague,20,0,0.000
0.030,31725,22,27360,25.3,29.6,20.1,29.6,3.9,1566511,42,1,1,prague,22,0,0.000
0.033,34573,24,30240,25.5,26.7,20.1,29.6,3.3,1695486,46,1,1,prague,24,0,0.000
0.036,37421,25,33120,26.1,30.1,20.1,30.1,3.6,1794324,50,1,1,prague,26,0,0.000
0.040,40269,27,34560,26.8,31.9,20.1,31.9,4.2,1878568,53,1,1,prague,28,0,0.000
0.043,43117,29,37440,27.6,33.0,20.1,33.0,4.7,1954958,57,1,1,prague,30,0,0.000
0.070,22821,15,20215,32.5,37.3,20.1,37.3,4.8,702963,62,1,1,prague,45,1,0.000
0.074,22993,15,20215,33.5,40.7,20.1,40.7,5.7,686481,64,1,1,prague,46,2,0.000
0.077,23157,16,20215,34.4,40.5,20.1,40.7,6.0,673658,66,1,1,prague,46,4,0.000
0.081,23313,16,21655,35.6,44.0,20.1,44.0,6.9,655338,69,1,1,prague,46,6,0.000
0.084,23462,16,21655,36.6,44.0,20.1,44.0,7.3,640583,71,1,1,prague,46,8,0.000
0.088,23605,16,21655,38.0,47.4,20.1,47.4,8.2,621625,73,1,1,prague,46,10,0.000
0.093,23742,16,21655,39.2,47.5,20.1,47.5,8.5,606281,75,1,1,prague,46,12,0.000
0.095,23874,16,20215,40.6,50.8,20.1,50.8,9.3,587841,76,1,1,prague,46,14,0.000
0.098,23603,16,20160,38.7,25.4,20.1,50.8,10.8,609770,77,1,1,prague,47,15,0.028
0.100,23733,16,18720,37.0,25.2,20.1,50.8,11.4,640999,78,1,1,prague,48,16,0.028
0.105,23861,16,18720,35.6,25.4,20.1,50.8,11.5,670912,80,1,1,prague,49,17,0.028
0.106,23989,16,17280,34.7,28.8,20.1,50.8,10.3,691046,81,1,1,prague,51,17,0.028
0.110,24118,16,17280,33.8,27.5,20.1,50.8,9.5,713297,83,1,1,prague,53,17,0.028
0.115,24247,16,17280,32.9,26.7,20.1,50.8,8.9,736476,85,1,1,prague,55,17,0.028
0.116,24377,16,15840,32.0,25.5,20.1,50.8,8.6,761828,86,1,1,prague,57,17,0.028
0.121,24507,17,15840,31.0,24.2,20.1,50.8,8.4,790038,88,1,1,prague,59,17,0.028
0.124,24222,16,15840,30.0,22.6,20.1,50.8,8.4,808316,90,1,1,prague,61,17,0.034
0.127,24355,16,15840,28.9,21.6,20.1,50.8,8.4,842063,92,1,1,prague,63,17,0.034
0.131,24488,17,15840,27.9,21.1,20.1,50.8,8.2,876386,94,1,1,prague,65,17,0.034
0.134,24621,17,15840,27.0,20.4,20.1,50.8,8.1,911821,96,1,1,prague,67,17,0.034
0.137,24754,17,15840,26.1,20.1,20.1,50.8,7.8,947050,98,1,1,prague,69,17,0.034
0.142,24887,17,17280,25.4,20.2,20.1,50.8,7.3,980227,101,1,1,prague,71,17,0.034
0.144,25020,17,17280,24.7,20.1,20.1,50.8,6.8,1011726,103,1,1,prague,73,17,0.034
0.149,24765,17,18720,24.2,20.2,20.1,50.8,6.2,1025126,106,1,1,prague,75,17,0.031
0.151,24900,17,18720,23.7,20.2,20.1,50.8,5.7,1052231,108,1,1,prague,77,17,0.031
0.155,25035,17,20160,23.2,20.2,20.1,50.8,5.1,1077840,111,1,1,prague,79,17,0.031
0.158,25170,17,20160,22.8,20.1,20.1,50.8,4.6,1101965,113,1,1,prague,81,17,0.031
0.161,25305,17,20160,22.5,20.2,20.1,50.8,4.1,1123967,115,1,1,prague,83,17,0.031
0.165,25440,17,21600,22.3,20.4,20.1,50.8,3.6,1143319,118,1,1,prague,85,17,0.031
0.168,25574,17,23040,22.1,21.3,20.1,50.8,2.9,1155573,121,1,1,prague,87,17,0.031
0.171,25708,17,23040,22.1,21.7,20.1,50.8,2.3,1164733,123,1,1,prague,89,17,0.031
0.174,25468,17,23040,22.1,22.4,20.1,50.8,1.8,1151668,125,1,1,prague,91,17,0.029
0.177,25604,17,23040,22.2,23.1,20.1,50.8,1.6,1151517,127,1,1,prague,93,17,0.029
0.181,25739,17,23040,22.4,23.8,20.1,50.8,1.6,1147627,129,1,1,prague,95,17,0.029
0.184,25874,17,23040,22.7,24.6,20.1,50.8,1.7,1139924,131,1,1,prague,97,17,0.029
0.187,26009,18,23040,23.0,25.4,20.1,50.8,2.0,1128960,133,1,1,prague,99,17,0.029
0.191,26143,18,24480,23.4,25.9,20.1,50.8,2.2,1117317,136,1,1,prague,101,17,0.029
0.194,26277,18,24480,23.9,27.1,20.1,50.8,2.6,1101299,138,1,1,prague,103,17,0.029
0.198,26411,18,24480,24.4,28.0,20.1,50.8,3.0,1083305,140,1,1,prague,105,17,0.029
0.201,26544,18,24480,24.9,28.9,20.1,50.8,3.4,1064271,142,1,1,prague,107,17,0.029
0.208,26453,18,21600,25.6,30.4,20.1,50.8,3.9,1032191,144,1,1,prague,111,17,0.027
0.214,26723,18,21600,26.2,30.4,20.1,50.8,4.1,1019144,148,1,1,prague,115,17,0.027
0.221,26991,18,21600,26.8,30.5,20.1,50.8,4.1,1008896,152,1,1,prague,119,17,0.027
0.228,27257,18,21600,27.2,30.4,20.1,50.8,4.0,1001911,156,1,1,prague,123,17,0.027
0.235,27522,19,21600,27.2,27.1,20.1,50.8,3.0,1012284,160,1,1,prague,127,17,0.027
0.242,27398,19,23040,27.2,27.0,20.1,50.8,2.3,1008465,165,1,1,prague,130,18,0.028
0.248,27595,19,24480,27.8,32.1,20.1,50.8,3.0,993161,169,1,1,prague,133,18,0.028
0.253,27857,19,23040,28.3,32.2,20.1,50.8,3.3,983269,172,1,1,prague,137,18,0.028
0.005,28582,19,1096,28.8,28.7,20.1,50.8,1.2,992982,175,1,1,prague,154,18,0.026
0.009,28663,19,0,28.7,26.5,20.1,50.8,1.6,1000000,176,1,1,prague,157,18,0.026
0.032,28574,19,23040,29.1,32.1,20.1,50.8,2.0,982126,196,1,1,prague,161,18,0.024
0.039,28832,20,23040,29.2,30.1,20.1,50.8,1.8,986552,200,1,1,prague,165,18,0.024
0.046,29089,20,24480,29.6,32.6,20.1,50.8,2.2,981112,205,1,1,prague,169,18,0.024
0.052,29344,20,24480,30.1,33.5,20.1,50.8,2.6,973719,209,1,1,prague,173,18,0.024
0.059,29597,20,24480,30.6,34.2,20.1,50.8,3.0,965707,213,1,1,prague,177,18,0.024
0.066,29519,20,24480,31.0,33.8,20.1,50.8,3.0,951029,217,1,1,prague,181,18,0.022
0.073,29708,20,25920,31.2,32.0,20.1,50.8,2.5,953279,221,1,1,prague,184,18,0.022
0.078,29896,20,25920,31.1,30.3,20.1,50.8,2.1,962710,224,1,1,prague,187,18,0.022
0.083,30145,20,24480,31.0,30.5,20.1,50.8,1.7,973109,227,1,1,prague,190,19,0.022
0.090,30330,21,25920,31.5,35.5,20.1,50.8,2.4,961514,231,1,1,prague,193,19,0.022
0.095,30576,21,25920,32.0,35.5,20.1,50.8,2.8,954307,235,1,1,prague,197,19,0.022
0.102,30465,21,25920,32.5,35.4,20.1,50.8,3.0,938395,239,1,1,prague,201,19,0.023
0.108,30649,21,27360,32.6,33.9,20.1,50.8,2.6,938886,243,1,1,prague,204,19,0.023
0.113,30894,21,25920,32.4,30.4,20.1,50.8,2.5,954520,246,1,1,prague,208,19,0.023
0.120,31137,21,25920,32.1,30.5,20.1,50.8,2.3,969033,250,1,1,prague,212,19,0.023
0.127,31379,21,25920,32.1,32.1,20.1,50.8,1.8,976839,254,1,1,prague,216,19,0.023
0.134,31619,21,25920,32.1,32.1,20.1,50.8,1.3,984249,258,1,1,prague,220,19,0.023
0.141,31521,21,25920,32.1,32.2,20.1,50.8,1.0,980954,262,1,1,prague,224,19,0.021
