time_s,cwnd_bytes,cwnd_pkts,bytes_in_flight,srtt_ms,rtt_sample_ms,rtt_min_ms,rtt_max_ms,rtt_var_ms,pacing_rate_Bps,pkts_sent,pkts_lost,timer_losses,cc_algo,ecn_ect1,ecn_ce,prague_alpha
0.007,15360,10,0,21.4,20.4,20.4,21.6,6.4,897196,5,1,1,prague,4,0,0.000
0.007,15360,10,0,23.1,28.8,20.4,28.8,6.6,830485,7,1,1,prague,7,0,0.000
0.007,15360,10,0,23.7,24.0,20.4,28.8,2.8,809477,14,1,1,prague,14,0,0.000
0.006,15360,10,0,24.3,28.0,20.4,28.8,3.1,791589,15,1,1,prague,15,0,0.000
0.026,18208,12,12960,24.5,26.0,20.4,28.8,2.8,929890,26,1,1,prague,17,0,0.000
0.029,21056,14,15840,24.3,23.3,20.4,28.8,2.4,1081658,30,1,1,prague,19,0,0.000
0.033,21056,14,17280,24.3,24.4,20.4,28.8,1.8,1081436,33,1,1,prague,21,0,0.000
0.037,21056,14,18720,24.3,24.1,20.4,28.8,1.4,1082726,36,1,1,prague,23,0,0.000
0.039,21056,14,18720,24.2,23.8,20.4,28.8,1.2,1085674,38,1,1,prague,25,0,0.000
0.046,23904,16,18720,23.7,20.2,20.2,28.8,1.9,1258847,40,1,1,prague,27,0,0.000
0.048,26752,18,21600,23.5,21.8,20.2,28.8,1.9,1423160,44,1,1,prague,29,0,0.000
0.051,26752,18,24480,23.3,22.0,20.2,28.8,1.8,1434823,48,1,1,prague,31,0,0.000
0.055,29600,20,24480,23.3,23.1,20.2,28.8,1.4,1589756,50,1,1,prague,33,0,0.000
0.058,32448,22,27360,23.4,23.9,20.2,28.8,1.2,1736524,54,1,1,prague,35,0,0.000
0.061,35296,24,30240,23.5,24.3,20.2,28.8,1.1,1879926,58,1,1,prague,37,0,0.000
0.065,38144,26,33120,23.7,25.4,20.2,28.8,1.3,2011474,62,1,1,prague,39,0,0.000
0.068,40992,28,36000,23.5,21.8,20.2,28.8,1.5,2183770,66,1,1,prague,41,0,0.000
0.072,43840,30,38880,23.7,25.2,20.2,28.8,1.6,2313602,70,1,1,prague,43,0,0.000
0.075,46688,32,41760,24.1,27.1,20.2,28.8,2.0,2420873,74,1,1,prague,45,0,0.000
0.078,49536,34,44640,24.7,29.0,20.2,29.0,2.7,2505361,78,1,1,prague,47,0,0.000
0.082,52384,36,47520,25.4,30.4,20.2,30.4,3.5,2575012,82,1,1,prague,49,0,0.000
0.085,55232,38,50400,26.1,30.5,20.2,30.5,3.9,2649372,86,1,1,prague,51,0,0.000
0.089,58080,40,53280,27.0,33.6,20.2,33.6,4.8,2688888,90,1,1,prague,53,0,0.000
0.092,60928,42,56160,27.9,33.8,20.2,33.8,5.3,2734159,94,1,1,prague,55,0,0.000
0.095,63776,44,59040,29.0,37.0,20.2,37.0,6.2,2749724,98,1,1,prague,57,0,0.000
0.099,66624,46,61920,30.0,37.2,20.2,37.2,6.7,2774890,102,1,1,prague,59,0,0.000
0.139,34411,23,33230,47.2,57.4,20.2,57.6,11.9,728645,108,1,1,prague,60,23,0.000
0.143,34495,23,31790,48.9,60.8,20.2,60.8,12.3,705015,109,1,1,prague,60,25,0.000
0.146,34576,24,31790,50.4,60.8,20.2,60.8,12.2,685841,111,1,1,prague,60,27,0.000
0.150,34655,24,31790,52.1,64.2,20.2,64.2,12.6,664691,113,1,1,prague,60,29,0.000
0.153,34732,24,31790,53.7,64.5,20.2,64.5,12.5,647067,115,1,1,prague,60,31,0.000
0.156,34808,24,33230,55.4,67.7,20.2,67.7,12.9,628019,118,1,1,prague,60,33,0.000
0.160,34882,24,33230,57.0,67.7,20.2,67.7,12.7,612383,120,1,1,prague,60,35,0.000
0.163,34954,24,33230,58.7,71.1,20.2,71.1,13.1,595235,122,1,1,prague,60,37,0.000
0.166,35025,24,33230,60.3,71.1,20.2,71.1,12.9,581192,124,1,1,prague,60,39,0.000
0.172,35094,24,33230,62.0,74.5,20.2,74.5,13.2,565639,126,1,1,prague,60,41,0.000
0.174,35162,24,31790,63.6,74.4,20.2,74.5,13.0,552983,127,1,1,prague,60,43,0.000
0.177,35228,24,30350,65.4,77.8,20.2,77.8,13.3,538992,128,1,1,prague,60,45,0.000
0.197,18311,12,15895,52.3,40.7,20.2,77.8,16.1,350134,131,1,1,prague,63,56,1.000
0.201,18427,12,15895,50.9,40.8,20.2,77.8,15.0,362315,133,1,1,prague,63,58,1.000
0.204,18540,12,15895,49.6,40.8,20.2,77.8,13.8,373782,135,1,1,prague,63,60,1.000
0.212,18762,13,13015,48.2,38.7,20.2,77.8,13.0,388914,137,1,1,prague,64,63,1.000
0.219,18933,13,11520,45.2,23.7,20.2,77.8,15.9,419159,139,1,1,prague,68,63,1.000
0.223,10192,7,8640,42.3,22.0,20.2,77.8,17.7,447842,141,1,1,prague,72,63,0.971
0.229,10409,7,8640,39.6,21.1,20.2,77.8,18.6,447842,143,1,1,prague,74,63,0.971
0.237,10624,7,8640,37.2,20.2,20.2,77.8,18.8,447842,145,1,1,prague,76,63,0.971
0.244,6586,4,5760,35.2,21.3,20.2,77.8,18.1,447842,147,1,1,prague,80,63,0.909
0.255,6938,4,4320,33.4,20.3,20.2,77.8,17.3,447842,148,1,1,prague,82,63,0.909
0.263,7275,5,4320,31.7,20.2,20.2,77.8,16.2,447842,150,1,1,prague,84,63,0.909
0.270,7436,5,7200,30.3,20.2,20.2,77.8,15.0,447842,153,1,1,prague,85,63,0.909
0.288,5575,3,1440,28.1,21.8,20.2,77.8,12.2,447842,154,1,1,prague,90,63,0.852
0.295,5792,4,4320,27.8,25.3,20.2,77.8,9.8,447842,157,1,1,prague,91,63,0.852
0.313,4539,3,2880,27.0,21.8,20.2,77.8,8.9,447842,159,1,1,prague,94,63,0.798
0.006,5084,3,2833,26.8,25.3,20.2,77.8,7.1,447842,161,1,1,prague,96,63,0.798
0.006,4119,2,0,27.0,27.7,20.2,77.8,4.3,447842,162,1,1,prague,99,63,0.747
0.032,4309,2,0,27.1,28.1,20.2,77.8,3.5,447842,165,1,1,prague,102,63,0.700
0.057,4323,3,0,26.5,21.9,20.2,77.8,3.9,447842,168,1,1,prague,105,63,0.656
0.083,4763,3,0,26.1,23.5,20.2,77.8,3.7,447842,172,1,1,prague,109,63,0.615
0.108,4943,3,0,25.8,23.5,20.2,77.8,3.4,447842,176,1,1,prague,113,63,0.576
0.133,5086,3,0,25.5,23.5,20.2,77.8,3.1,447842,180,1,1,prague,117,63,0.540
0.159,5219,3,0,25.2,23.5,20.2,77.8,2.8,447842,184,1,1,prague,121,63,0.506
0.184,5352,3,0,25.0,23.5,20.2,77.8,2.6,447842,188,1,1,prague,125,63,0.474
0.210,5488,3,0,24.8,23.6,20.2,77.8,2.3,447842,192,1,1,prague,129,63,0.443
0.235,5629,3,0,24.7,23.5,20.2,77.8,2.1,447842,196,1,1,prague,133,63,0.415
0.261,5774,4,0,24.5,23.6,20.2,77.8,1.8,447842,200,1,1,prague,137,63,0.389
0.286,6226,4,0,24.6,25.3,20.2,77.8,1.6,447842,205,1,1,prague,142,63,0.364
0.312,6555,4,0,24.7,25.2,20.2,77.8,1.3,447842,211,1,1,prague,147,63,0.341
0.337,6824,4,0,24.8,25.2,20.2,77.8,1.1,447842,216,1,1,prague,152,63,0.319
0.362,7065,4,0,24.8,25.2,20.2,77.8,1.0,447842,221,1,1,prague,157,63,0.299
0.388,7293,5,0,24.9,25.2,20.2,77.8,0.8,447842,226,1,1,prague,162,63,0.279
0.413,7513,5,1440,24.9,25.3,20.2,77.8,0.7,447842,232,1,1,prague,167,63,0.262
0.420,7711,5,7200,25.2,26.9,20.2,77.8,1.0,447842,237,1,1,prague,168,63,0.262
0.439,7876,5,1440,25.2,25.2,20.2,77.8,0.8,447842,238,1,1,prague,173,63,0.245
0.445,8067,5,7200,24.6,20.3,20.2,77.8,1.8,447842,243,1,1,prague,174,63,0.245
0.464,8203,5,1440,24.6,25.2,20.2,77.8,1.5,447842,244,1,1,prague,179,63,0.229
0.471,8388,5,7200,24.1,20.3,20.2,77.8,2.2,447842,249,1,1,prague,180,63,0.229
0.489,8508,5,1440,24.2,25.2,20.2,77.8,2.0,447842,250,1,1,prague,185,63,0.215
0.496,8687,6,7200,23.7,20.2,20.2,77.8,2.5,447842,255,1,1,prague,186,63,0.215
0.515,8800,6,2880,23.9,25.3,20.2,77.8,2.2,447842,257,1,1,prague,191,63,0.201
0.522,9151,6,7200,23.7,22.0,20.2,77.8,2.2,447842,262,1,1,prague,193,63,0.201
0.540,9227,6,2880,23.9,25.2,20.2,77.8,2.0,447842,264,1,1,prague,198,63,0.188
0.547,9564,6,7200,23.6,22.0,20.2,77.8,2.0,447842,269,1,1,prague,200,63,0.188
0.566,9622,6,2880,23.8,25.2,20.2,77.8,1.9,447842,271,1,1,prague,205,63,0.176
0.572,9948,6,7200,23.6,21.9,20.2,77.8,1.9,447842,276,1,1,prague,207,63,0.176
0.591,9997,6,2880,23.8,25.2,20.2,77.8,1.8,447842,278,1,1,prague,212,63,0.164
0.598,10313,7,7200,23.6,22.0,20.2,77.8,1.8,447842,283,1,1,prague,214,63,0.164
0.617,10359,7,4320,23.8,25.2,20.2,77.8,1.8,447842,286,1,1,prague,219,63,0.153
0.623,10821,7,7200,23.8,23.7,20.2,77.8,1.3,447842,291,1,1,prague,222,63,0.153
0.642,10843,7,4320,24.0,25.3,20.2,77.8,1.4,447842,294,1,1,prague,227,63,0.144
0.649,11288,7,7200,23.9,23.6,20.2,77.8,1.1,447842,299,1,1,prague,230,63,0.144
0.668,11300,7,4320,24.1,25.2,20.2,77.8,1.2,447842,302,1,1,prague,235,63,0.134
0.674,11730,8,7200,24.0,23.8,20.2,77.8,0.9,487794,307,1,1,prague,238,63,0.134
0.693,11737,8,5760,24.2,25.3,20.2,77.8,1.0,485040,311,1,1,prague,243,63,0.125
0.702,12154,8,7200,23.8,20.6,20.2,77.8,1.6,511725,315,1,1,prague,246,63,0.125
0.708,12288,8,8640,23.9,25.3,20.2,77.8,1.6,513304,317,1,1,prague,247,63,0.125
0.718,11992,8,8640,23.7,22.1,20.2,77.8,1.7,505778,320,1,1,prague,250,63,0.117
0.725,12265,8,10080,23.3,20.2,20.2,77.8,2.1,527005,323,1,1,prague,252,63,0.117
0.730,12532,8,10080,22.9,20.2,20.2,77.8,2.4,547487,325,1,1,prague,254,63,0.117
0.735,12794,8,10080,22.8,22.2,20.2,77.8,1.9,561140,327,1,1,prague,256,63,0.117
0.744,12504,8,8640,22.7,22.0,20.2,77.8,1.7,550934,329,1,1,prague,259,63,0.109
0.750,12768,8,10080,22.7,23.1,20.2,77.8,1.4,561280,332,1,1,prague,261,63,0.109
0.756,13027,9,10080,22.4,20.2,20.2,77.8,1.7,580784,334,1,1,prague,263,63,0.109
0.761,13281,9,11520,22.5,23.2,20.2,77.8,1.4,589585,337,1,1,prague,265,63,0.109
0.769,12996,9,10080,22.6,23.1,20.2,77.8,1.2,574993,339,1,1,prague,268,63,0.103
0.776,13251,9,11520,22.3,20.2,20.2,77.8,1.5,594082,342,1,1,prague,270,63,0.103
0.781,13628,9,10080,22.3,22.4,20.2,77.8,1.1,610819,344,1,1,prague,273,63,0.103
0.786,13872,9,11520,22.4,22.8,20.2,77.8,1.0,620088,347,1,1,prague,275,63,0.103
0.795,13588,9,10080,22.1,20.2,20.2,77.8,1.3,614869,349,1,1,prague,278,63,0.096
0.801,13834,9,11520,22.5,25.0,20.2,77.8,1.7,616049,352,1,1,prague,280,63,0.096
0.806,14197,9,10080,22.5,23.2,20.2,77.8,1.4,629662,354,1,1,prague,283,63,0.096
0.812,14433,10,11520,22.7,23.9,20.2,77.8,1.4,635311,357,1,1,prague,285,63,0.096
0.820,14157,9,11520,22.4,20.2,20.2,77.8,1.7,631811,360,1,1,prague,288,63,0.089
